,주소,위도,경도
239,서울 마포구 포은로 6길 10망원1동주민센터 옥상,37.5555904,126.9033715
240,경남 창원시 의창구 대산면 갈전로99번길 100,35.3730532,128.6735097
241,부산광역시 사상구 삼덕로 83덕포초등학교 운동장 북서쪽 화단 (덕포동),35.173887,128.9837608
242,인천광역시 동구 수문통로 77송현도로변측정소,37.482121,126.6347939
243,인천 미추홀구 주안6동1587(석바위 삼거리),37.4576784,126.6901981
244,울산 울주군 청량면 신덕하3길 5청량면사무소 옥상,35.4931477,129.3037439
245,대구 수성구 지산동 761-11(한국환경공단) (무학로 209)한국환경공단,35.8304698,128.6293659
246,경남 진주시 동진로 279(한국전력공사 진주지점),35.180614,128.1196348
247,경북 칠곡군 왜관읍 관문로1길 30칠곡군 보건소 건강증진센터 옥상,35.9909018,128.4162784
248,경북 영천시 시청로 23영천 별빛직장어린이집,35.9729409,128.9356014
249,"충남 서천군 장항읍 장산로 297한국철도시설공단 부지내, 공원로 지상 1층",36.0083319,126.6910783
250,경남 거창군 거창읍 거열로 90거창읍사무소 1층 옥상,35.6879728,127.9016603
251,대구 수성구 노변공원로 52노변초등학교,35.8377194,128.6952756
252,울산 동구 진성4길 45 전하2동주민센터 3층 옥상,35.5088833,129.4244664
253,울산 중구 종가로 560약사고등학교,35.5738929,129.333353
254,경남 통영시 안개4길53(무전동주민센터),34.8573864,128.4302715
255,전남 영암군 삼호읍 나불로 192(나불리)영암소방서,34.766809,126.4370042
256,울산 중구 새즈믄해거리 28농협 성남동 지점,35.5563486,129.3182176
257,울산 동구 대송5길 10대송동주민센터 옥상,35.5031894,129.4162173
258,서울 광진구 광나루로 571구의아리정수센터,37.5471803,127.0903042
259,대구 중구 수창동 73 (수창초등학교)(달성로 22길 30)수창초등학교,35.8744352,128.5818408
260,광주 북구 북문대로 79(벽산블루밍아파트 앞 인도),35.1768741,126.8749934
261,광주 남구 회서로 21번가길 13주월1동 주민센터,35.1319105,126.8911592
262,경북 구미시 원평동 56-4(구미중앙로 24)동사무소,36.1271227,128.3378569
263,부산광역시 동구 충장대로 314자성대부두(관공선부두) 내 (좌천동),35.131992,129.0476816
264,대전 동구 동구청로 36대성동,36.3018511,127.4580984
265,경남 함안군 가야읍 함안대로 505가야읍행정복지센터 옥상,35.2719801,128.4060437
266,강원 태백시 태붐로 21태백시청 부지 내 지상,37.164066,128.9833763
267,인천 부평구 광장로 지하15(부평동)부평역 7번 출구,37.4903861,126.7214534
268,울산 남구 대암로 90번길 27울산세관,35.5287957,129.3240308
269,울산 남구 처용로 260-37대경기계기술,35.4969942,129.3372805
270,울산 남구 대학로 147번길 38무거동주민센터,35.5509863,129.2585641
271,부산 연제구 중앙대로 1001부산광역시청 녹음광장 창고,35.1802909,129.0722648
272,부산 수영구 광안로21번가길 57한바다중학교 옥상,35.1573913,129.1160884
273,대전 유성구 대학로 407 보건환경연구원보건환경연구원,36.3725838,127.3716672
274,대전 서구 정림동로 10(정림동 주민센터)정림동 주민센터,36.3044691,127.3645445
275,대구 서구 평리3동730-1 (대평중학교내) (통학로 217),35.8799063,128.5602316
276,경남 창원시 진해구 경화로16번길 31(병암동주민센터),35.1549948,128.6873507
277,경남 양산시 북부동 북안남 5번길 21(중앙동 주민센터),35.345812,129.038757
278,경기 고양시 일산동구 장항2동 888뉴코아백화점사거리,37.655049,126.7731483
279,전남 장성군 장성읍 영천로 211장성읍사무소 옥상,35.3031938,126.7831096
280,충북 청주시 청원구 오창읍 각리 637-4 각리중학교 4층(오창중앙로 48)각리중학교 옥상,36.708786,127.4197343
281,전북 전주시 완산구 용리로 107 삼천도서관 옥상,35.7989458,127.1195094
282,인천 남동구 청능대로611번길 54(논현동)근린공원,37.4055168,126.6771332
283,서울 은평구 진흥로 215(한국환경산업기술원 온실동2층 ),37.6104898,126.9314111
284,경남 창원시 성산구 창이대로 706번길 16-23(사파민원센터),35.2217926,128.6960425
285,경남 창원시 마산회원구 봉암로 148(봉암동 주민센터),35.2177913,128.6001349
286,경기 가평군 가평읍 석봉로 181가평군청 의회동,37.8312549,127.5073877
287,경기 남양주시 별내중앙로 148화접초등학교,37.6534707,127.1135993
288,전북 부안군 행안면 변산로 16농업인 회관,35.7297179,126.717144
289,강원 인제군 인제읍 비봉로44번길 93인제군기상관측소,38.0601314,128.1645277
290,경북 포항시 남구 오천읍 냉천로320번길 4-11오천읍민복지회관,35.9668219,129.4065133
291,충남 서산시 동문동 918-3(서산초등학교)서산초등학교,36.780177,126.4532699
292,전북 전주시 완산구 태평3길 43-17 중앙동주민센터 옥상,35.8234988,127.1384514
293,인천 서구 심곡로 98(심곡동)인천광역시 인재개발원 옥상,37.5415919,126.6790187
294,부산 남구 수영로 196번길 80부산공업고등학교 공동실습관 옥상,35.1306439,129.0857864
295,부산강서구 체육공원로 43강서체육공원,35.2099696,128.9701295
296,대구 북구 태전동 1076-5 (태암초등학교)(칠곡중앙대로 52길 56)태암초등학교 남관 4층 옥상,35.9230319,128.5484631
297,경북 의성군 안계면 위양2길 9-26,36.3683804,128.4524188
298,경북 구미시 형곡동 142(구미시립도서관)구미시립도서관,36.1136442,128.3341439
299,경남 진주시 진주대로 1052(중소기업은행),35.1935071,128.0823508
300,경남 양산시 웅상읍 삼호 9길 1)(웅상노인복지회관),35.4144099,129.1697104
301,경기 군포시 산본로197번길 36당동도서관,37.3536799,126.9429677
302,강원 횡성군 강림면 강림리(치악산)1538번지 강림면사무소 교외대기,37.3591665,128.1213161
303,충남 서천군 서면 서인로 761서면보건지소옥상,36.1530046,126.5508324
304,전북 전주시 덕진구 동부대로 1183전주시 농수산물도매시장 관리동,35.8687985,127.1163412
305,대구 달서구 월배로 131월배초등학교,35.8168855,128.5264588
306,전남 곡성군 곡성읍 학정3길 6곡성읍 측정소,35.2834583,127.2874781
307,인천 중구 영종대로 85(운서동)영종도서관 옥상,37.4955904,126.4865251
308,인천 연수구 원인재로 115(동춘동)연수구의회 옥상,37.4101597,126.67612
309,부산광역시 동래구 중앙대로1335번길 38내산초등학교 동쪽 대로변 (온천동),35.2073846,129.0742298
310,부산 기장군 정관읍 용수로 4정관읍사무소 옥상,35.3255392,129.1781057
311,경남 창원시 마산회원구 회원동 11번길 7(회원1동 주민센터),35.2182352,128.5718876
312,강원 고성군 간성읍흘리 산 1-92(동원농산내 야산),38.279373,128.3804408
313,울산 남구 신정2동(문수로)1674(436 학성고등학교),35.5315776,129.2981336
314,전북 순창군 순창읍 경천로 33순창군청 3층 옥상,35.3744256,127.1353125
315,전남 광양시 진상면 신시길 227(섬거리)진상면사무소,35.0199657,127.717473
316,서울 도봉구 시루봉로2길 34쌍문동청소년문화의집,37.6541361,127.0268011
317,부산 동구 구청로 1동구청 지상,35.1292738,129.0433086
318,대전 서구 둔산서로 84(근로자 종합복지회관)근로자 종합복지회관(3층 옥상),36.3612626,127.3661936
319,대구 동구 신암동 72-1 (신암5동사무소)(아양로 37길 92)주민센터,35.8897398,128.6308358
